statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);417,392;jew. ME;VGR104;Bruttoanlageinvestitionen der nichtstaatl.Sektoren;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);9,493;jew. ME;VGR019;Ausrüstungsinvestitionen des Staates;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);58,316;jew. ME;VGR107;Sonst. Anlageinvestitionen d. nichtstaatl.Sektoren;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);195,291;jew. ME;VGR106;Bauinvestitionen der nichtstaatlichen Sektoren;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);55,599;jew. ME;VGR095;Bruttoanlageinvestitionen des Staates;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);163,785;jew. ME;VGR105;Ausrüstungsinvestitionen der nichtstaatl. Sektoren;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);131,782;jew. ME;BAU019;Bauinvestitionen d.nichtstaatl.Sekt. in Wohnbauten;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);36,25;jew. ME;VGR096;Bauinvestitionen des Staates;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);35,529;jew. ME;BAU018;Bauinvestitionen des Staates in Nichtwohnbauten;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);9,856;jew. ME;VGR099;Sonstige Anlageinvestitionen des Staates;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);63,509;jew. ME;BAU020;Bauinvest. d.nichtstaatl.Sekt. in Nichtwohnbauten;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2001;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);0,721;jew. ME;BAU017;Bauinvestitionen des Staates in Wohnbauten;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);489,876;jew. ME;VGR104;Bruttoanlageinvestitionen der nichtstaatl.Sektoren;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);14,801;jew. ME;VGR019;Ausrüstungsinvestitionen des Staates;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);77,149;jew. ME;VGR107;Sonst. Anlageinvestitionen d. nichtstaatl.Sektoren;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);235,571;jew. ME;VGR106;Bauinvestitionen der nichtstaatlichen Sektoren;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);69,037;jew. ME;VGR095;Bruttoanlageinvestitionen des Staates;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);177,156;jew. ME;VGR105;Ausrüstungsinvestitionen der nichtstaatl. Sektoren;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);160,805;jew. ME;BAU019;Bauinvestitionen d.nichtstaatl.Sekt. in Wohnbauten;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);38,527;jew. ME;VGR096;Bauinvestitionen des Staates;e
81000;Volkswirtschaftliche Gesamtrechnungen des Bundes;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;VGRPB5;Preisbasis (jeweilige Preise / preisbereinigt);VGRJPM;in jeweiligen Preisen (Mrd. EUR);37,947;jew. ME;BAU018;Bauinvestitionen des Staates in Nichtwohnbauten;e
